Run,Counts,RunLength_minutes,CountsPerMinute,Angle
314,37974,8.0,4746.75,10
315,205994,49.0,4203.959183673469,10
318,1228,61.9,19.838449111470112,7
319,34,60.016666666666666,0.5665093029713968,7
320,13509,4.533333333333333,2979.9264705882356,15
321,191619,60.2,3183.0398671096345,15
322,166674,60.3,2764.07960199005,15
323,166278,60.05,2768.992506244796,15
324,166676,60.266666666666666,2765.641592920354,15
325,203530,66.96666666666667,3039.2732702837234,15
326,162151,60.36666666666667,2686.1016013252347,15
327,145663,60.53333333333333,2406.3270925110132,15
328,9805,4.65,2108.6021505376343,15
329,158295,65.85,2403.872437357631,15
340,48552,15.3,3173.333333333333,15
341,15300,5.4,2833.333333333333,12
342,71904,26.366666666666667,2727.079646017699,12
343,186764,60.78333333333333,3072.6185906224296,12
344,179138,60.35,2968.318144159072,12
345,245980,60.016666666666666,4098.528186614829,12
346,282307,52.416666666666664,5385.825119236884,12
352,168807,33.6,5024.017857142857,12
355,59525,12.1,4919.421487603306,20
356,270430,60.03333333333333,4504.664075513604,20
357,281451,60.25,4671.385892116183,20
358,298073,59.95,4972.026688907423,20
359,321996,62.266666666666666,5171.241970021413,20
360,266142,60.983333333333334,4364.176004372779,20
361,273112,63.68333333333333,4288.594608741168,20
362,301934,68.11666666666666,4432.6009297773435,20
363,294727,62.46666666666667,4718.148345784418,20
364,326316,62.36666666666667,5232.218065205772,20
365,117694,22.133333333333333,5317.5,20
369,31777,7.583333333333333,4190.373626373626,17
370,103329,23.8,4341.55462184874,17
371,273602,62.2,4398.745980707396,17
372,219886,60.3,3646.5339966832507,17
373,220802,60.0,3680.0333333333333,17
374,239948,60.21666666666667,3984.743980071962,17
375,248208,60.03333333333333,4134.503053858967,17
378,23235,5.216666666666667,4453.9936102236425,10
379,298815,62.516666666666666,4779.765395894428,10
380,310241,62.56666666666667,4958.566862013851,10
381,281374,60.083333333333336,4683.06241331484,10
382,155401,30.0,5180.033333333334,10
385,297417,60.56666666666667,4910.572372041827,10
386,287236,61.016666666666666,4707.500682873532,10
387,275475,60.25,4572.1991701244815,10
388,273737,60.05,4558.484596169858,10
389,255385,60.1,4249.334442595674,10
394,1040,20.1,51.741293532338304,7
395,1031,62.13333333333333,16.59334763948498,7
396,43,60.5,0.7107438016528925,7
397,1045,60.28333333333333,17.334807851810893,7
398,1235,60.13333333333333,20.53769401330377,7
404,46000,10.1,4554.455445544555,40
405,22612,4.95,4568.080808080808,40
408,126683,27.166666666666668,4663.177914110429,40
409,274802,60.46666666666667,4544.685777287762,40
410,271733,60.21666666666667,4512.587877110434,40
411,269799,62.5,4316.784,40
412,263452,61.05,4315.348075348075,40
413,299416,68.26666666666667,4385.9765625,40
415,246081,53.1,4634.293785310734,35
416,305244,61.88333333333333,4932.572044169136,35
417,310950,60.95,5101.722723543889,35
418,334241,65.28333333333333,5119.851927495532,35
420,297517,60.55,4913.575557390586,25
421,270482,60.31666666666667,4484.365846919038,25
422,309801,60.06666666666667,5157.619311875694,25
423,170277,34.96666666666667,4869.6949475691135,25
424,253825,60.31666666666667,4208.206686930091,25
425,60445,14.166666666666666,4266.705882352941,25
426,132904,32.93333333333333,4035.5465587044537,10
427,3,6.933333333333334,0.43269230769230765,7
428,756,21.016666666666666,35.97145122918319,7
429,1074,34.43333333333333,31.19070667957406,7
430,3,5.583333333333333,0.5373134328358209,7
431,36,62.95,0.5718824463860206,7
432,797,19.4,41.08247422680412,7
433,943,60.166666666666664,15.673130193905818,7
434,7704,60.166666666666664,128.0443213296399,7
435,1286,8.833333333333334,145.58490566037736,7
436,36,59.75,0.602510460251046,7
437,38,61.75,0.6153846153846154,7
438,34,57.45,0.5918189730200174,7
439,379,60.233333333333334,6.292197011621472,7
440,211,60.18333333333333,3.5059540293547498,7
441,41963,10.966666666666667,3826.413373860182,10
442,235202,60.25,3903.7676348547716,10
444,242441,60.03333333333333,4038.4397556912827,10
445,244385,60.13333333333333,4064.052106430155,10
446,284537,63.8,4459.827586206897,10
447,253264,60.083333333333336,4215.212205270457,10
450,285471,66.6,4286.351351351352,15
451,277878,60.03333333333333,4628.728484175458,15
452,177764,34.6,5137.687861271676,15
453,176296,34.983333333333334,5039.42829919009,15
454,314771,60.0,5246.183333333333,15
457,250406,60.03333333333333,4171.1160466407555,15
458,54158,15.366666666666667,3524.381778741865,12
459,216538,60.06666666666667,3604.96115427303,12
460,212703,60.36666666666667,3523.5173937051354,12
461,251128,62.916666666666664,3991.4384105960266,12
462,246786,60.016666666666666,4111.957789502916,12
463,239174,60.06666666666667,3981.80910099889,12
464,97724,23.566666666666666,4146.704384724187,12
465,894,61.483333333333334,14.540525887774464,7
