Run,Counts,RunLength_minutes,nA,Angle
290,150534,31.95,23.557746478873238,20
291,318981,59.333333333333336,26.880421348314606,20
293,255604,60.166666666666664,21.241329639889198,20
294,259943,69.6,18.674066091954025,20
295,173030,66.33333333333333,13.04246231155779,20
296,173902,33.31666666666667,26.098349174587288,20
297,1837,1.5333333333333332,5.990217391304349,20
314,37974,8.0,23.733749999999997,10
315,205994,49.0,21.019795918367343,10
318,1228,61.9,0.09919224555735057,7
319,34,60.016666666666666,0.002832546514856984,7
320,13509,4.533333333333333,14.899632352941177,15
321,191619,60.2,15.915199335548172,15
322,166674,60.3,13.82039800995025,15
323,166278,60.05,13.844962531223981,15
324,166676,60.266666666666666,13.82820796460177,15
325,203530,66.96666666666667,15.196366351418616,15
326,162151,60.36666666666667,13.430508006626173,15
327,145663,60.53333333333333,12.031635462555068,15
328,9805,4.65,10.54301075268817,15
329,158295,65.85,12.019362186788156,15
330,133145,60.0,11.095416666666667,15
331,128063,61.71666666666667,10.37507426411018,15
332,128970,66.98333333333333,9.627021647175916,15
333,107780,60.0,8.981666666666666,15
334,116276,60.833333333333336,9.556931506849313,15
335,151960,60.15,12.631753948462178,15
336,168452,61.25,13.751183673469388,15
337,164421,60.31666666666667,13.629814865985077,15
338,65463,21.833333333333332,14.991526717557251,15
339,15616,5.016666666666667,15.564119601328905,15
340,48552,15.3,15.866666666666667,15
341,15300,5.4,14.166666666666666,12
342,71904,26.366666666666667,13.635398230088496,12
343,186764,60.78333333333333,15.363092953112147,12
344,179138,60.35,14.84159072079536,12
345,245980,60.016666666666666,20.492640933074146,12
346,282307,52.416666666666664,26.929125596184416,12
347,119372,25.0,23.874399999999998,12
348,319068,61.016666666666666,26.14597104616225,12
349,303551,60.11666666666667,25.24682561685611,12
350,46086,11.083333333333334,20.790676691729324,12
352,168807,33.6,25.120089285714286,12
355,59525,12.1,24.59710743801653,20
356,270430,60.03333333333333,22.52332037756802,20
357,281451,60.25,23.35692946058091,20
358,298073,59.95,24.860133444537112,20
359,321996,62.266666666666666,25.856209850107067,20
360,266142,60.983333333333334,21.820880021863896,20
361,273112,63.68333333333333,21.442973043705834,20
362,301934,68.11666666666666,22.163004648886716,20
363,294727,62.46666666666667,23.590741728922087,20
364,326316,62.36666666666667,26.161090326028862,20
365,117694,22.133333333333333,26.5875,20
367,265629,60.45,21.970967741935485,20
368,62410,16.016666666666666,19.48283038501561,20
369,31777,7.583333333333333,20.951868131868135,17
370,103329,23.8,21.707773109243696,17
371,273602,62.2,21.993729903536973,17
372,219886,60.3,18.232669983416255,17
373,220802,60.0,18.400166666666664,17
374,239948,60.21666666666667,19.92371990035981,17
375,248208,60.03333333333333,20.672515269294834,17
376,118408,30.0,19.73466666666667,17
377,240246,60.0,20.020500000000002,17
378,23235,5.216666666666667,22.26996805111821,10
379,298815,62.516666666666666,23.89882697947214,10
380,310241,62.56666666666667,24.79283431006926,10
381,281374,60.083333333333336,23.4153120665742,10
382,155401,30.0,25.900166666666664,10
383,97929,20.15,24.300000000000004,10
384,11944,2.6166666666666667,22.82292993630573,10
385,297417,60.56666666666667,24.55286186020913,10
386,287236,61.016666666666666,23.537503414367663,10
